Station,Year,Month,Day,date,station,year,month,Mean Wind Speed (km/h),Max Wind Speed (km/h),StationType,StationName,geometry
Paya Lebar,2020,5,1,2020-05-01,S06,2020,5,4.9,31.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,2,2020-05-02,S06,2020,5,5.4,20.4,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,3,2020-05-03,S06,2020,5,4.4,24.1,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,4,2020-05-04,S06,2020,5,4.8,22.2,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,5,2020-05-05,S06,2020,5,5.1,38.9,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,6,2020-05-06,S06,2020,5,7.5,42.6,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,7,2020-05-07,S06,2020,5,6.3,24.1,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,8,2020-05-08,S06,2020,5,9,31.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,9,2020-05-09,S06,2020,5,10.8,25.9,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,10,2020-05-10,S06,2020,5,7.6,37,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,11,2020-05-11,S06,2020,5,7.3,35.2,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,12,2020-05-12,S06,2020,5,6.9,31.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,13,2020-05-13,S06,2020,5,7.6,42.6,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,14,2020-05-14,S06,2020,5,4.6,27.8,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,15,2020-05-15,S06,2020,5,7.9,27.8,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,16,2020-05-16,S06,2020,5,7.6,33.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,17,2020-05-17,S06,2020,5,6.6,35.2,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,18,2020-05-18,S06,2020,5,7.3,24.1,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,19,2020-05-19,S06,2020,5,5.3,24.1,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,20,2020-05-20,S06,2020,5,4.9,33.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,21,2020-05-21,S06,2020,5,3.9,24.1,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,22,2020-05-22,S06,2020,5,4.6,31.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
