Station,Year,Month,Day,date,station,year,month,Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C)
Admiralty,2020,4,20,2020-04-20,S104,2020,4,30,34.5,27.2
Admiralty,2020,4,21,2020-04-21,S104,2020,4,28.4,32.9,23.3
Admiralty,2020,4,22,2020-04-22,S104,2020,4,29.1,34.9,26.9
Admiralty,2020,4,23,2020-04-23,S104,2020,4,27.7,34.2,25.5
Admiralty,2020,4,24,2020-04-24,S104,2020,4,27.2,34.6,25.1
Admiralty,2020,4,25,2020-04-25,S104,2020,4,27.2,31.3,25.8
Admiralty,2020,4,26,2020-04-26,S104,2020,4,27,32.5,25.5
Admiralty,2020,4,27,2020-04-27,S104,2020,4,27.2,30.7,24.9
Admiralty,2020,4,28,2020-04-28,S104,2020,4,28.4,31.8,26
Admiralty,2020,4,29,2020-04-29,S104,2020,4,28.9,34.5,25.1
Admiralty,2020,4,30,2020-04-30,S104,2020,4,27.7,33.6,24.8
Admiralty,2020,5,1,2020-05-01,S104,2020,5,26.3,30.4,24.7
Admiralty,2020,5,2,2020-05-02,S104,2020,5,28.1,31.7,25.5
Admiralty,2020,5,3,2020-05-03,S104,2020,5,28.6,33.1,25.2
Admiralty,2020,5,4,2020-05-04,S104,2020,5,27.8,30.9,26.1
Admiralty,2020,5,5,2020-05-05,S104,2020,5,28.3,35,25.6
Admiralty,2020,5,6,2020-05-06,S104,2020,5,28.4,31.6,25
Admiralty,2020,5,7,2020-05-07,S104,2020,5,29.8,35,27.6
Admiralty,2020,5,8,2020-05-08,S104,2020,5,28.8,32.3,25.3
Admiralty,2020,5,9,2020-05-09,S104,2020,5,30.6,35.2,27.4
Admiralty,2020,5,10,2020-05-10,S104,2020,5,29.6,32.3,26.3
Admiralty,2020,5,11,2020-05-11,S104,2020,5,29.1,32.8,25.9
Admiralty,2020,5,12,2020-05-12,S104,2020,5,30,34.7,28.3
Admiralty,2020,5,13,2020-05-13,S104,2020,5,27.8,31.3,24.7
Admiralty,2020,5,14,2020-05-14,S104,2020,5,29.1,34.2,25.6
Admiralty,2020,5,15,2020-05-15,S104,2020,5,30.1,34.7,27
Admiralty,2020,5,16,2020-05-16,S104,2020,5,29.8,33.9,26.6
Admiralty,2020,5,17,2020-05-17,S104,2020,5,28.2,33.1,24.7
Admiralty,2020,5,18,2020-05-18,S104,2020,5,29.1,34.4,25.3
Admiralty,2020,5,19,2020-05-19,S104,2020,5,30.1,34.1,28
Admiralty,2020,5,20,2020-05-20,S104,2020,5,28.8,33.4,25.7
Admiralty,2020,5,21,2020-05-21,S104,2020,5,29,35.8,26.5
Admiralty,2020,5,22,2020-05-22,S104,2020,5,27.9,32.4,23.4
Admiralty,2020,5,23,2020-05-23,S104,2020,5,27.5,30.8,26
Admiralty,2020,5,24,2020-05-24,S104,2020,5,28.5,33.6,26.4
Admiralty,2020,5,25,2020-05-25,S104,2020,5,28.7,34.6,26.2
Admiralty,2020,5,26,2020-05-26,S104,2020,5,28.9,35,26.1
Admiralty,2020,5,27,2020-05-27,S104,2020,5,28.1,31.4,25.9
Admiralty,2020,5,28,2020-05-28,S104,2020,5,29,34.3,26.5
Admiralty,2020,5,29,2020-05-29,S104,2020,5,28.1,32.4,25.1
Admiralty,2020,5,30,2020-05-30,S104,2020,5,27.8,34.7,25.2
Admiralty,2020,5,31,2020-05-31,S104,2020,5,28.3,33.5,25.9
Admiralty,2020,6,1,2020-06-01,S104,2020,6,26.4,30.4,24.2
Admiralty,2020,6,2,2020-06-02,S104,2020,6,28.1,35.6,24.3
Admiralty,2020,6,3,2020-06-03,S104,2020,6,28.6,32.3,25.8
Admiralty,2020,6,4,2020-06-04,S104,2020,6,28.5,34,24.1
Admiralty,2020,6,5,2020-06-05,S104,2020,6,27.9,31.5,23.9
Admiralty,2020,6,6,2020-06-06,S104,2020,6,27,29.4,24.3
Admiralty,2020,6,7,2020-06-07,S104,2020,6,29.3,33.9,26
Admiralty,2020,6,8,2020-06-08,S104,2020,6,29.3,34.8,27.1
Admiralty,2020,6,9,2020-06-09,S104,2020,6,29.9,33.7,26.6
Admiralty,2020,6,10,2020-06-10,S104,2020,6,29,33.5,25.9
